# format_version=1
# run_id=1:27059261:143072987
# id=1
# s=27059261
# p=143072987
# N=3871449297282607
# sqrtN=62220971
# Nmin=1
# Mmax=1000000
# W=2
# depth=2
# timelimit_sec=100
# status=TIMEOUT_WITH_ROOTS
# roots_found=12
# fractions_tested=1537995
# unique_fractions=1537995
# build_time_sec=0.000000
# search_time_sec=100.000005
# total_time_sec=100.000015
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
1:27059261:143072987 0 403874 27059261/67 403871 403875 15485823094467375/652453600500 -12508601198354593268625/652453600500 0 403873 2 2 47469 1 1/23735 1/23734 1/23735 1/23734 403869 403880 0.000019 -
1:27059261:143072987 1 403874 572291948/1417 403871 403875 15485823094467375/652453600500 -12508601198354593268625/652453600500 0 403873 2 2 47469 1 1/23735 1/23734 1/23735 1/23734 403869 403880 0.000019 -
1:27059261:143072987 2 338239 143072987/423 338236 338240 15485853306470400/457619778560 -10475789120194695198720/457619778560 0 338238 2 2 67679 1 1/33840 1/33839 1/33840 1/33839 338234 338242 0.000014 -
1:27059261:143072987 3 338239 27059261/80 338236 338240 15485853306470400/457619778560 -10475789120194695198720/457619778560 0 338238 2 2 67679 1 1/33840 1/33839 1/33840 1/33839 338234 338242 0.000014 -
1:27059261:143072987 4 311027 27059261/87 311026 311028 7742893090029120/193475589456 -4816499330096989719168/193475589456 0 311027 1 1 40020 1 1/40020 1/40019 1/40020 1/40019 311025 311028 0.000006 -
1:27059261:143072987 5 311027 143072987/460 311026 311028 7742893090029120/193475589456 -4816499330096989719168/193475589456 0 311027 1 1 40020 1 1/40020 1/40019 1/40020 1/40019 311025 311028 0.000006 -
1:27059261:143072987 6 196798 54118522/275 196795 196799 15485814323119250/154916236820 -6095120230709529341970/154916236820 0 196797 2 2 199921 1 1/99961 1/99960 1/99961 1/99960 196794 196801 0.000013 -
1:27059261:143072987 7 196798 143072987/727 196795 196799 15485814323119250/154916236820 -6095120230709529341970/154916236820 0 196797 2 2 199921 1 1/99961 1/99960 1/99961 1/99960 196794 196801 0.000013 -
1:27059261:143072987 8 196797 54118522/275 196795 196799 15485814323119250/154916236820 -6095120230709529341970/154916236820 1 196797 2 2 199923 1 1/99962 1/99961 1/99962 1/99961 196794 196800 0.000011 -
1:27059261:143072987 9 196797 143072987/727 196795 196799 15485814323119250/154916236820 -6095120230709529341970/154916236820 1 196797 2 2 199923 1 1/99962 1/99961 1/99962 1/99961 196794 196800 0.000011 -
1:27059261:143072987 10 196796 54118522/275 196795 196799 15485814323119250/154916236820 -6095120230709529341970/154916236820 2 196797 2 2 199925 1 1/99963 1/99962 1/99963 1/99962 196793 196799 0.000011 -
1:27059261:143072987 11 196796 143072987/727 196795 196799 15485814323119250/154916236820 -6095120230709529341970/154916236820 2 196797 2 2 199925 1 1/99963 1/99962 1/99963 1/99962 196793 196799 0.000011 -
