digits,depth,runtime_sec,instances,mean_events,mean_centers,max_centers,factored,vs_published
10,7,200,5,134.4,57.6,73,5/5,MATCH
12,3,200,5,13.6,6.8,10,5/5,MATCH
14,3,200,5,8.4,4.2,7,5/5,MATCH
16,3,200,5,4.8,2.4,5,4/5,MATCH
18,3,200,5,1.2,0.6,2,2/5,MATCH
20,3,200,5,0.4,0.2,1,1/5,MATCH
22,3,1000,5,0.8,0.4,1,2/5,MATCH
24,3,1000,5,0,0,0,0/5,MATCH
26,3,1000,5,0.4,0.2,1,1/5,MATCH
28,3,1000,5,0,0,0,0/5,MATCH
30,3,1000,5,0,0,0,0/5,MATCH
35,10,9900,5,0,0,0,0/5,MATCH
40,16,14400,5,0,0,0,0/5,MATCH
45,11,10000,5,0,0,0,0/5,MATCH
50,19,10000,5,0,0,0,0/5,MATCH
