# format_version=1
# run_id=1:30365207:175238111
# id=1
# s=30365207
# p=175238111
# N=5321141514803977
# sqrtN=72946154
# Nmin=1
# Mmax=1000000
# W=2
# depth=2
# timelimit_sec=100
# status=TIMEOUT_WITH_ROOTS
# roots_found=18
# fractions_tested=1626078
# unique_fractions=1626078
# build_time_sec=0.000000
# search_time_sec=100.000006
# total_time_sec=100.000015
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
1:30365207:175238111 0 365843 175238111/479 365842 365844 10642241276925072/267682201296 -7786794225697650785040/267682201296 0 365843 1 1 39757 1 1/39757 1/39756 1/39757 1/39756 365841 365845 0.000007 -
1:30365207:175238111 1 365843 30365207/83 365842 365844 10642241276925072/267682201296 -7786794225697650785040/267682201296 0 365843 1 1 39757 1 1/39757 1/39756 1/39757 1/39756 365841 365845 0.000007 -
1:30365207:175238111 2 267538 60730414/227 267535 267539 21284568907560050/286304185460 -11388818661358892406450/286304185460 0 267537 2 2 148683 1 1/74342 1/74341 1/74342 1/74341 267534 267541 0.000011 -
1:30365207:175238111 3 267538 175238111/655 267535 267539 21284568907560050/286304185460 -11388818661358892406450/286304185460 0 267537 2 2 148683 1 1/74342 1/74341 1/74342 1/74341 267534 267541 0.000011 -
1:30365207:175238111 4 267536 60730414/227 267535 267539 21284568907560050/286304185460 -11388818661358892406450/286304185460 2 267537 2 2 148685 1 1/74343 1/74342 1/74343 1/74342 267533 267539 0.000010 -
1:30365207:175238111 5 267536 175238111/655 267535 267539 21284568907560050/286304185460 -11388818661358892406450/286304185460 2 267537 2 2 148685 1 1/74343 1/74342 1/74343 1/74342 267533 267539 0.000010 -
1:30365207:175238111 6 120978 30365207/251 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363568 1 1/363568 1/363567 1/363568 1/363567 120976 120979 0.000005 -
1:30365207:175238111 7 120978 350476222/2897 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363568 1 1/363568 1/363567 1/363568 1/363567 120976 120979 0.000005 -
1:30365207:175238111 8 120978 30365207/251 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363569 1 1/363569 1/363568 1/363569 1/363568 120976 120979 0.000005 -
1:30365207:175238111 9 120978 350476222/2897 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363569 1 1/363569 1/363568 1/363569 1/363568 120976 120979 0.000005 -
1:30365207:175238111 10 120978 30365207/251 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363570 1 1/363570 1/363569 1/363570 1/363569 120976 120979 0.000005 -
1:30365207:175238111 11 120978 350476222/2897 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363570 1 1/363570 1/363569 1/363570 1/363569 120976 120979 0.000005 -
1:30365207:175238111 12 120978 30365207/251 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363571 1 1/363571 1/363570 1/363571 1/363570 120976 120979 0.000005 -
1:30365207:175238111 13 120978 350476222/2897 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363571 1 1/363571 1/363570 1/363571 1/363570 120976 120979 0.000005 -
1:30365207:175238111 14 120978 30365207/251 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363572 1 1/363572 1/363571 1/363572 1/363571 120976 120979 0.000005 -
1:30365207:175238111 15 120978 350476222/2897 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363572 1 1/363572 1/363571 1/363572 1/363571 120976 120979 0.000005 -
1:30365207:175238111 16 120978 30365207/251 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363573 1 1/363573 1/363572 1/363573 1/363572 120976 120979 0.000005 -
1:30365207:175238111 17 120978 350476222/2897 120977 120979 10642288247584001/29271352966 -2574964863951800804717/29271352966 0 120978 1 1 363573 1 1/363573 1/363572 1/363573 1/363572 120976 120979 0.000005 -
